Class,accident_type,evidence,uplift,s2_2_importance,CRI_Score,matched_details
A,Hwy-rail crossing,"{'Track Type': 'Main', 'Passengers Transported': 'Yes'}",0.4922130566583199,0.005642068,0.6758031142532556,Track Type=Main(Score:0.0113); Passengers Transported=Yes(Score:0.0000)
A,Hwy-rail crossing,"{'First Car Position': '1.0', 'Passengers Transported': 'Yes'}",0.4837650817363464,0.00574686,0.6706877967155584,First Car Position(Score:0.0115); Passengers Transported=Yes(Score:0.0000)
A,Derailment,"{'Track Type': 'Yard', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.015375488999999999,0.6533335232987374,Track Type=Yard(Score:0.0184); Equipment Type=Freight Train(Score:0.0123)
A,Other impacts,"{'Equipment Attended': 'No', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.01307417535,0.6526046683326715,Equipment Attended=No(Score:0.0231); Equipment Type=Single Car(Score:0.0030)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Visibility': 'Day'}",0.4839148954208902,0.00349077675,0.5974727147013992,Passengers Transported=Yes(Score:0.0000); Visibility=Day(Score:0.0070)
A,Other impacts,"{'Track Type': 'Yard', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.01071793285,0.5759813329707848,Track Type=Yard(Score:0.0184); Equipment Type=Single Car(Score:0.0030)
A,Other impacts,"{'Equipment Attended': 'No', 'Head End Locomotives': '0'}",0.1567496790161918,0.0127904375,0.5698173089615903,Equipment Attended=No(Score:0.0231); Head End Locomotives(Score:0.0024)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Class': '1L'}",0.483512803374103,0.00224731465,0.5566305421858121,Passengers Transported=Yes(Score:0.0000); Class=1L(Score:0.0045)
A,Derailment,{'Equipment Type': 'Freight Train'},0.1562066789298571,0.012314151,0.5537809822380921,Equipment Type=Freight Train(Score:0.0123)
A,Hwy-rail crossing,"{'Track Class': '4', 'Passengers Transported': 'Yes'}",0.4920541180322454,0.0018452966,0.552174448875934,Track Class=4(Score:0.0037); Passengers Transported=Yes(Score:0.0000)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Remote Control Locomotive': 'Not a remotely controlled operation'}",0.4895817002254701,0.0018524845,0.549913796202096,Passengers Transported=Yes(Score:0.0000); Remote Control Locomotive=Not a remotely controlled operation(Score:0.0037)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Head End Locomotives': '1'}",0.4998183803340759,0.0012157815,0.539536352307234,Passengers Transported=Yes(Score:0.0000); Head End Locomotives(Score:0.0024)
A,Derailment,"{'Track Type': 'Main', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.011799143500000001,0.5370333035138577,Track Type=Main(Score:0.0113); Equipment Type=Freight Train(Score:0.0123)
A,Hwy-rail crossing,"{'Train Direction': 'West', 'Passengers Transported': 'Yes'}",0.4816178528018109,0.0015985769,0.5336222535016605,Train Direction=West(Score:0.0032); Passengers Transported=Yes(Score:0.0000)
A,Side collision,"{'Equipment Attended': 'No', 'Equipment Type': 'Cut of cars'}",0.1424161113285192,0.012116012349999998,0.5334244853868314,Equipment Attended=No(Score:0.0231); Equipment Type=Cut of cars(Score:0.0011)
A,Hwy-rail crossing,"{'Conductors On Duty': '1.0', 'Passengers Transported': 'Yes'}",0.4863645595137745,0.00131001275,0.5290272578194377,Conductors On Duty(Score:0.0026); Passengers Transported=Yes(Score:0.0000)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Engineers On Duty': '1.0'}",0.4869099241877426,0.0011844765,0.5254951210559697,Passengers Transported=Yes(Score:0.0000); Engineers On Duty(Score:0.0024)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Visibility': 'Dark'}",0.4836632692977831,0.00128411725,0.5254598493062652,Passengers Transported=Yes(Score:0.0000); Visibility=Dark(Score:0.0026)
A,Hwy-rail crossing,"{'Method of Operation': 'Signal Indication', 'Passengers Transported': 'Yes'}",0.4919240343621084,0.000722039,0.5155156680514544,Method of Operation=Signal Indication(Score:0.0014); Passengers Transported=Yes(Score:0.0000)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Positive Drug Tests': 'nan'}",0.4838474675238263,0.0007075501,0.5068961301983945,Passengers Transported=Yes(Score:0.0000); Positive Drug Tests(Score:0.0014)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Brakemen On Duty': '1.0'}",0.486589323821122,0.0005695023,0.50517314556436,Passengers Transported=Yes(Score:0.0000); Brakemen On Duty(Score:0.0011)
A,Hwy-rail crossing,"{'Empty Freight Cars': '0', 'Passengers Transported': 'Yes'}",0.4846378398116264,0.0005558375,0.5027599428732464,Empty Freight Cars(Score:0.0011); Passengers Transported=Yes(Score:0.0000)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Weather Condition': 'Clear'}",0.4837650817363464,0.00057663625,0.5025557864100652,Passengers Transported=Yes(Score:0.0000); Weather Condition=Clear(Score:0.0012)
